Enviro,MIC50,OD,Activity_norm,Strain
0.78,0.78125,1.3498585746148704,0.981252185105958,HSC083
1.56,0.78125,1.01841229757064,0.8771009482923456,HSC083
12.5,0.78125,0.49216864717585346,0.7800735620494332,HSC083
3.12,0.78125,0.8096592915024318,0.8972201183379082,HSC083
6.25,0.78125,0.6666140561465008,1.020564297754173,HSC083
0.2,0.78125,1.5405753405277935,1,HSC090
0.39,0.78125,1.479370485623401,1.0562765886819203,HSC090
0.78,0.78125,1.1253205037859468,0.9544933309151771,HSC090
1.56,0.78125,0.931877422226808,0.6998931892206397,HSC090
12.5,0.78125,0.9568954651074356,0.8328943792071463,HSC090
3.12,0.78125,0.8831815887627291,0.617999075603047,HSC090
6.25,0.78125,1.0163133169489262,0.7920927326652232,HSC090
0.2,0.78125,1.5804686593356392,1,HSC094
0.39,0.78125,1.2723763863875972,0.9456702670019191,HSC094
0.78,0.78125,0.9597280614121427,0.9957477518186775,HSC094
1.56,0.78125,0.7335587617117247,0.8902241768096675,HSC094
12.5,0.78125,0.638827264839866,0.7098424578918313,HSC094
3.12,0.78125,0.7687177292440208,0.7642422187354642,HSC094
6.25,0.78125,0.7639037874792076,0.6273544494211484,HSC094
0.2,0.390625,1.6128061818717443,1,HSC097
0.39,0.390625,1.5316997792736233,1.006393745191109,HSC097
0.78,0.390625,1.2996496085132152,1.0740752799963547,HSC097
1.56,0.390625,0.9874896166610905,0.8707892209478694,HSC097
12.5,0.390625,0.9976087519568864,0.7680327468678447,HSC097
3.12,0.390625,1.0735789267912321,0.6981147503576512,HSC097
6.25,0.390625,1.0435281613673535,0.5869010152952511,HSC097
0.2,0.390625,1.3893533984009832,1,HSC098
0.39,0.390625,1.1453823977407187,0.9205781760561905,HSC098
0.78,0.390625,0.8106740581424995,0.9705921183698024,HSC098
1.56,0.390625,0.5614732396760128,0.9375944698919505,HSC098
12.5,0.390625,0.4810647909053468,0.6590099524405902,HSC098
3.12,0.390625,0.4507318476292582,0.6686267032199085,HSC098
6.25,0.390625,0.5453915499218795,0.5707384746679146,HSC098
0.2,0.390625,1.5578365209367608,1,HSC099
0.39,0.390625,1.4814586260446967,1.087733035104452,HSC099
0.78,0.390625,1.204495073202377,1.0146129362747285,HSC099
1.56,0.390625,1.2166228745322498,0.9225539975658462,HSC099
12.5,0.390625,0.8221967964500388,0.6298342725512079,HSC099
3.12,0.390625,0.900482435371521,0.6611359743688998,HSC099
6.25,0.390625,0.9805395508917486,0.5691272963385571,HSC099
0.2,0.78125,1.480440402651974,1,HSC100
0.39,0.78125,1.3691065946948457,1.03110054432468,HSC100
0.78,0.78125,1.187489004457408,1.0177820396124093,HSC100
1.56,0.78125,1.1345459806873055,0.9628950211840788,HSC100
12.5,0.78125,0.8200337278849151,0.8102637218891509,HSC100
3.12,0.78125,0.9716502713192952,0.7881908889480843,HSC100
6.25,0.78125,0.8857904979877814,0.6626428219261422,HSC100
0.2,0.78125,1.4678231490664002,1,HSC105
0.39,0.78125,1.3838623895053628,0.9965702046939938,HSC105
0.78,0.78125,1.2447823526752477,1.0299901160891343,HSC105
1.56,0.78125,1.2123356850967935,0.9930450952836412,HSC105
12.5,0.78125,0.9772776044173248,0.7698759890707374,HSC105
3.12,0.78125,0.937139874894348,0.7576164788984143,HSC105
6.25,0.78125,1.0445743964318965,0.7030507686483805,HSC105
