Filename,OrbitId,ELB,Background,Celltype 1,ROIArea[pixel],ROI-Group
A03_BA_1.6_t22.jpeg,359,local,0.838083,0.161917,1391744,0
A03_BA_1.6_t23.jpeg,360,local,0.846156,0.153844,1391744,0
A03_BA_1.6_t24.jpeg,361,local,0.855078,0.144922,1391744,0
A03_BA_3.2_t0.jpeg,362,local,0.967429,0.032571,1391744,0
A03_BA_3.2_t01.jpeg,363,local,0.928664,0.071336,1391744,0
A03_BA_3.2_t02.jpeg,364,local,0.909222,0.090778,1391744,0
A03_BA_3.2_t03.jpeg,365,local,0.898602,0.101398,1391744,0
A03_BA_3.2_t04.jpeg,366,local,0.899824,0.100176,1391744,0
A03_BA_3.2_t05.jpeg,367,local,0.924716,0.075284,1391744,0
A03_BA_3.2_t06.jpeg,368,local,0.933185,0.066815,1391744,0
A03_BA_3.2_t07.jpeg,369,local,0.925369,0.074631,1391744,0
A03_BA_3.2_t08.jpeg,370,local,0.928546,0.071454,1391744,0
A03_BA_3.2_t09.jpeg,371,local,0.928473,0.071527,1391744,0
A03_BA_3.2_t10.jpeg,372,local,0.921693,0.078307,1391744,0
A03_BA_3.2_t11.jpeg,373,local,0.91929,0.08071,1391744,0
A03_BA_3.2_t12.jpeg,374,local,0.923368,0.076632,1391744,0
A03_BA_3.2_t13.jpeg,375,local,0.925124,0.074876,1391744,0
A03_BA_3.2_t14.jpeg,376,local,0.914206,0.085794,1391744,0
